,,,,,,,,,,,,,,,
Radiant Plumbing,Air Conditioning,& Electrical,Yes,"901 Reinli St, Austin, TX 78751, United States",+1 512-690-4935,https://radiantplumbing.com/austin/?utm_source=google&utm_medium=businesslisting&utm_campaign=atx-brand_gmb_1023&utm_content=atx-brand,4.8,17779,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk5dY6fAqGCcgxQTNGIuuJV_7xWrZ_5TYmv--AupVMNH0zbzV4jkGv-QlM91wAz_BxbxZYzI6OnVkYr5E8rYQzywtD-yjZ6iYQsVbGv_fYPYE9l1rlKnw7X09kZ-V6EKsOZERlR=w426-h240-k-no,"Jason and Mike from Radiant Electrical provided an awesome service experience! They were professional, timely, and knowledgeable and understood my vision for …##I’m extremely grateful for Radiant Plumbing & AC. Beginning with their booking and scheduling was very easy. A provider came out the next day, giving me a 45 minute notice prior to arrival. Juan Ramirez came out and was very professional …##Jeff Hicks with Radiant Plumbing was great to work with. He came the same day I inquired about my shower water leak. He took the time to explain why I had a water leak and what needed to be done to fix it. As a first-time homeowner, this …",,,,
Homeland Exteriors,Yes,,+1 815-601-5522,http://homelandexteriors.com/,5,5,"Sunday: Closed, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnbs6suwg3i14V05-y9RkfI8iz_lmYyyurbFFSwbXwuzsPRGQmnd8X7xWZ8Jwmzz4gUQcE7GE_qkg74BzmbeWxC5VjZNPThZZ8mvZxrHob9X_Dag_JVOaip5WZXObWrdo4TSO8=w493-h240-k-no,"Randy responded to my text immediately, came out to see the gutters, gave me an awesome quote, and the work speaks for itself!! Thank you Randy for coming out the day after Thanksgiving and dealing with my very neglected gutters!! Look forward to working with you in the future.##Homeland Exteriors& Restoration were absolutely fantastic to work with!! We had hail damage to our roof Gutters and a few windows . Was overwhelmed where to start dealing with the insurance company.Randy and Darwint made the process …##Randy is a straight shooter. No non sense. Understands his customers and does the job right the first time. Will use again!",,,,,,
Windowpane,Yes,,+1 815-621-1095,,5,2,"Sunday: 9 AM–5 PM, Monday: 9 AM–5 PM, Tuesday: 9 AM–5 PM, Wednesday: 9 AM–5 PM, Thursday: 9 AM–5 PM, Friday: 9 AM–5 PM, Saturday: 9 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlVGJmGb87Ukz6Qjg3mvCHypXBaD93rOB3IwN3QZHjM14i821BFHWyAh76jI5nCb8HzOCU6POKTlUG2Ob_z8VghGvcOxvkjw3pp2tUlF6F--iZxMzFADjTl5y_iOsVnNUZ363Oh=w408-h544-k-no,Amazing work!!!! Very professional and great knowledge of the work at hand. Every question was answered very professionally and easy to understand would definitely be calling them for any future projects.,,,,,,
Master Carpenter Contracting,Yes,,+1 815-621-1987,,5,0,"Sunday: 9 AM–4 PM, Monday: 7 AM–7 PM, Tuesday: 7 AM–7 PM, Wednesday: 7 AM–7 PM, Thursday: 7 AM–7 PM, Friday: 7 AM–7 PM, Saturday: 9 AM–4 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm-Mg6Bm_3EJIN5OGUwJhArX-uToVV250iGlJXhOtvgIFtTq8v3D6IQJyROndGPXazoFJyCeUd-M-cO5RuJkwgf9qEmbM5Rv6t59JSzyp_luHC9UMh-jVYEGLzHjYank-jdG3Wa3w=w408-h306-k-no,"Absolutely the best home service we’ve had. Prompt, courteous and the quality of the work at exceeds their reasonable rates. Will use again.",,,,,,
Drummond Window Cleaning,Yes,,+1 815-654-7661,http://www.rockfordwindowcleaningcompany.com/,4.9,34,"Sunday: Closed, Monday: 7 AM–4:30 PM, Tuesday: 7 AM–4:30 PM, Wednesday: 7 AM–4:30 PM, Thursday: 7 AM–4:30 PM, Friday: 7 AM–4:30 PM, Saturday: Closed",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmIG4HmjEbtSGKyXUwMReQaZzRdGJqFCMnIlDv6EqH3iJvDi0F_mKK1gVpWFNo8oDG0x6RxbIex0FK9Oii1aqzVdi-ATuDsVlcKVHUrWyuFuRVEfYHr8rnL4-aI_Ege2jsk8031vw=w408-h271-k-no,"It has been many years since my home’s windows had been washed. I have a home built in 1950 with mostly original windows, so the Drummond team had to take out the double panes to clean all 4 sides of glass. They did an amazing job, were …##When I called Drummond Window Cleaning, Roger called me back within 30 minutes and was at my house within 2 hours to look at my house and give me an estimate! …##An excellent job my windows sparkle. The only thing I would say negative would be to clean the sill little bit better besides that everything was excellent and I highly recommend them. There were creases in the sills That could have been cleaned better.",,,,,,
SIDEWERKZ,Yes,,+1 815-668-6441,,5,5,"Sunday: Closed, Monday: 5–9 PM, Tuesday: 5–9 PM, Wednesday: 5–9 PM, Thursday: 5–9 PM, Friday: 5–9 PM, Saturday: 5–9 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm9NTN0viNMDYz1eutdbgUG94XWir_lDl0ITLNstmJedWYeipUWLpepQsXfv72zNTgKV8RYtcnV6m-iob7MPGJHtZ5njBYo1tO53FASw7Rk0cBnr5QJql44Ucg9XlhK_ZP4UlEvBOEuOvc=w408-h306-k-no,"10/10 would recommend Sidewerkz! Travis is a honest guy, which in the industry isn’t always easy to come by! He’s not a “fly by night” guy and will take care of your car as it’s his own!##Travis is skilled at tint work and charges a fair rate. Easy to work with too. Does both carbon and ceramic.##Sidewerkz did great work. At a reasonable price, they removed the old tent and replaced it with ceramic tint. No bubbles, and it was done in less than six hours. I have had it on there for a week now and it looks awesome.",,,,,,
Area Construction & Renovation,Yes,,+1 815-980-1710,http://areaconstructionrockford.com/,5,19,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnESw21IE53pCmTKmbc62jok2-RuvpYRR1weMPPsDYixjuiouS84ziyUSbEQSVhhn3cB-zK8TunGQF9xIDLlAWXVBQU5BZiGjkJrgY8EtxIfGZCAhqUAFa8lEjVwjlgH-4skcpc=w426-h240-k-no,"Did a great job on a basement egress window install. Everything we discussed on the planning end was delivered and was on time. Crew finished the job in one day and left the site clean with minimal yard cleanup needed on my end. Finished product looks great Very professional and would definitely recommend.##Best service ever. Called them one morning Nic came to my home in a hour. We set a date that day with him and they came out and installed egress in just one day. Professional guys and they did a good job cleaning up. Highly recommend them. Will use them again##I recommend Nic and his company 100%. He is honest and helped me solve my basement leaking issue, he knew the solution immediately...I had two other big name companies come in and quote me thousands of dollars to repair my basement leak. …",,,,,,
Oceanview Window Cleaning,Yes,,+1 817-205-6916,http://oceanviewtx.com/,5,10,"Saturday: 8:30 AM–9 PM, Sunday: 8:30 AM–9 PM, Monday: 8:30 AM–9 PM, Tuesday: 8:30 AM–9 PM, Wednesday: 8:30 AM–9 PM, Thursday: 8:30 AM–9 PM, Friday: 8:30 AM–9 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlDjzZB_uZtgMc1277Ir_if6Ng6BbDo0qLTGs18zMBsHozQ3WPVKhRx6VWBiqBigxuwrIEqwylVF85MMt6tjycfIEKrj6mHpqaRvilIifxiNd_YkejXH4EMJ5ZIxgj3mKLtlCrHkxAJVuW3=w408-h306-k-no,Oceanview did an exceptional job cleaning our windows. Jay and Alania were attentive to detail and were easy to work with. They went over and above communicating with us. Everything looks sparkly clean for spring. I would use them again.##Jay and Alana did a fabulous job on our windows. They were highly professional in all aspect. I will use them again. YOU use them. You won't go wrong. They are GREAT.##The work was done in a timely manner. The service technician was courteous and professional. I look forward to doing business with them again.,,,,,,
J Wales Home Solutions,Yes,,+1 817-310-8885,,0,0,"Saturday: Closed, Sunday: Closed, Monday: 8 AM–6 PM, Tuesday: 8 AM–6 PM, Wednesday: 8 AM–6 PM, Thursday: 8 AM–6 PM, Friday: 8 AM–6 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlRYiroCMQUsjzhT6MshsRoDVoKUFhK_ZTyVhwORdtt96QVUJ1SB7wkDWvXg7BWZzcd5FPHeMTFf9_wFVxec7vRUEtrPAMWR-9oaE8ifWELjcgbqC5nvgo5XmPIDteinPPNzck9=w408-h483-k-no,,,,,,,
A auto glass,Yes,,+1 817-701-5738,,5,32,"Saturday: 7:30 AM–6 PM, Sunday: 7:30 AM–6 PM, Monday: 7:30 AM–6 PM, Tuesday: 7:30 AM–6 PM, Wednesday: 7:30 AM–6 PM, Thursday: 7:30 AM–6 PM, Friday: 7:30 AM–6 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk60BSOUqLWR-5tpiHwtLZ5tjbVLZldvkyTQKzQHi1dF4xH_gPyBIq9Lf9P8dPwb32401_VSCvdJBzFUQ5RzQyKW-v8J3q-BUZfQYRWPrcCyJrZ5dobScz-M3oIXdqHNxrLng3l5IM6MCTr=w408-h306-k-no,"Absolutely would recommend them to anyone that needs mobile service! Sam and his brother even came to my job to change my windshield; can’t get any better than that!##Absolutely amazing service. Fast, professional, and very friendly. They did a perfect job on my auto glass and the price was fair too. The whole process was smooth and stress-free. Highly recommend this place if you want quality work and honest people. Thank you again! ⭐⭐⭐⭐⭐##Highly recommend A Auto Glass Dallas! Great customer service, honest pricing, and very professional from start to finish. They replaced the glass quickly and did an excellent job. You can tell they care about quality and making sure …",,,,,,
Hello Shades LLC,Yes,,+1 817-945-4303,https://www.hello-shades.com/,5,16,"Saturday: 9 AM–6 PM, Sunday: Closed, Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm79zb4sVOepggd_eZ0swKFFfDtLe18Q3Em0WY7MH1tzFczOBcCNtwwzJM1vAkxBphlFDNpgKrbeHUumhDTvgc96HiEj-dTqBMrW0dgFyEJjTo2nrNP23iZosp-3j0CvizqpY_Cw4zlE7w1=w408-h544-k-no,"Here in Canada, these roller shades are very expensive. Hello shade was able to work with us and give us a great price. Maurice has the best customer service. He is very transparent with providing guidance on your options, without over-selling. I'm in love with my shades! Thank you Hello Shades!##Outstanding service and exceptional value! Hello Shades remained attentive throughout the entire process, ensuring my order was handled with care and that I was completely satisfied with the final result. If you're looking for high-quality …##Hello Shades is a business owned and operated by Maurice and Ivorita Foster. After coming across an advertisement for Hello Shades, I decided to reach out and learn more about their services. …",,,,,,
Precision Exterior & Services,Yes,,+1 817-964-1364,https://www.precisionexteriorservice.com/,5,6,"Saturday: Open 24 hours, Sunday: Open 24 hours, Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk1EZrnCC_9cg-krtfFR-6T-tv3_4Z5IA_X_6kRE-NDN8qEAxctcbTS1caG2vJZzIeAkkuG2AasoeWklLzj_fBhCLq3R_UxR7Df6OON7FMDmAEl6QWUib9SY0N61hqkK2wSt1BC7ya3MJ0V=w408-h306-k-no,"We had a fantastic experience with Precision Exterior and Services. From the start, they were very responsive and easy to schedule. Arron, the owner, was punctual, courteous, and very respectful of our property. The windows, tracks, and …##Our experience with Arron exceeded our expectations. He was prompt, efficient and friendly. Our windows look great and I couldn’t be any more pleased with the service we received. I can highly recommend him and will use his company for future needs. Great experience!##Very happy with excellent Job of Window cleaning, Screens, and Tracks. Windows sparkle, and can’t even tell there is a screen, because it’s so well cleaned. Can highly recommend this Company.",,,,,,
It's So Clean,Yes,,+1 830-613-7712,https://itssoclean.net/,4.9,47,"Saturday: Closed, Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWk3zXXUXOrZA7a_J3DOnKZ0j78vIKI9vycmz8JX1Ar9cYIQtFOtptYO7-l1i2JR0tzhPRLmRVCKW95VZSfOgoa6Qq54U01BTuReBMgmVOn4bGPpuFURHTFmMuHY6w8HQn172hzo3g=w410-h240-k-no,John and his crew have been taking care of our windows for the last 5 years. They always do a great job at a very reasonable price. The guys are efficient and professional and go out of their way to make sure that any of our concerns are …##Top Window Cleaning Service in the Austin Area. I use them for my vacation rentals (airbnbs) and they clean our windows quarterly. Helps us keep our 5 star ratings##It’s So Clean is a fantastic company. I have had my windows cleaned before for a lot more money and they didn’t look anywhere close to this job! The guys were very eager to please and willing to do whatever they needed to …,,,,,,
Drapery Haven,Yes,,+1 832-266-1214,https://www.draperyhaven.com/,4.7,15,"Saturday: 9 AM–6 PM, Sunday: Closed, Monday: 9 AM–6 PM, Tuesday: 9 AM–6 PM, Wednesday: 9 AM–6 PM, Thursday: 9 AM–6 PM, Friday: 9 AM–6 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl8zrI7dv7bHpS-Yb5J1Tg91IuXVbZEBIhyNcB2YmoFBoOdsr3kaS8pbn4zhHeIfOHnHten9Xrss5d7fLxnpvcn2_1cJCFUEfQ9Z36a0nwqj_c4_NJkMdSvlqNl8G01WFC4d28PI9Gd1DwH=w408-h544-k-no,"Absolutely amazing experience with Drapery Haven! The custom drapes completely transformed my space and look even better than I imagined. The quality, craftsmanship, and attention to detail were top tier from start to finish. The team was …##We met with a couple curtain companies and we’re so happy we went with DraperyHaven. They are professional, responsive and the quality of their products is unmatched. Will definitely work with them on the rest of our home. 10/10 check out my photos if you’re not sure. 🤩 …##Very professional and timely responses. Great attention to details . Consulation went smoothly. From selecting the fabric design, color options etc. I smile everytime i walk in the space. Absolutely love how the drapes transformed the space.",,,,,,
Glassly,Yes,,+1 832-280-5893,,5,0,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,These guys are super professional and have awesome communication skills! Would highly recommend!,,,,,,
C-TEX Glass And Door LLC,Yes,,+1 832-579-7053,http://ctexglassanddoor.com/,0,0,"Saturday: 7 AM–5 PM, Sunday: Closed, Monday: 7 AM–6 PM, Tuesday: 7 AM–6 PM, Wednesday: 7 AM–6 PM, Thursday: 7 AM–6 PM, Friday: 7 AM–6 PM",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,
Majestic Shield Roofing,Yes,,+1 832-764-4090,https://majesticshieldroofing.net/,4.9,35,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnTJB392YW9sk3JuQRSs8f_fk6QPB8MqEWp60uqp73kAi6wJFnCDTyx1Zua_dX6r3QjJUAHOO-xtFJKV8TjmJPK0v2LY4LLfydIUnOCwwwkwCRx6lo3NicC3vXNXwTg8vArWuxhj0asCmTO=w648-h240-k-no,"I highly recommend Majestic Shield Roofing & Storm Restoration. Jorge and his team were professional, honest, and knowledgeable throughout the entire process. They performed a thorough roof inspection, explained the storm damage clearly, …##Abby Construction Corp was a pleasure to work with from start of the job until completion. Jorge and the crew did excellent work on our new Class 3 Impact Resistance new roof. Jorge is honest and a professional at what he does. He …##I’m a very satisfied customer from New York, and I highly recommend Abby Construction Corp for any type of home repair, especially roofing. After dealing with the damage caused by storms and heavy snow, I needed a reliable company I could …",,,,,,
Window Universe Austin,Yes,,+1 844-983-9773,https://windowuniverseaustin.com/,0,0,"Saturday: 7 AM–9 PM, Sunday: 7 AM–9 PM, Monday: 7 AM–9 PM, Tuesday: 7 AM–9 PM, Wednesday: 7 AM–9 PM, Thursday: 7 AM–9 PM, Friday: 7 AM–9 PM",https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,
Furst Home Repair,Yes,,+1 847-789-7733,https://fursthomerepair.com/,0,0,,https://maps.gstatic.com/tactile/pane/default_geocode-1x.png,,,,,,,
3 Day Blinds,Yes,,+1 866-327-2441,https://www.3dayblinds.com/landing-page-002/?adkey=MC23023&utm_source=google&utm_medium=seo&utm_term=none&utm_content=save20&utm_campaign=3db_seo_google_googlemybusiness_202304_save20_dac,3.6,32,"Saturday: 9 AM–6:30 PM, Sunday: 10 AM–6:30 PM, Monday: 7 AM–9 PM, Tuesday: 7 AM–9 PM, Wednesday: 7 AM–9 PM, Thursday: 7 AM–9 PM, Friday: 7 AM–9 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmoF1Q_b8oD2BGIldyVbaJHgfM0EjTF3Az3L31zWtlGMdWukfuZpE4LcikC4EjFh-8tASrKMOTdP2zVzMsY4WWy5thhXWPpDbKarWFWXeGKEIAxPvaveFNl5qM_DAn1CdbjqIUI1A=w408-h276-k-no,"Extremely disappointed with my experience with 3 Day Blinds. The delays are ridiculous, especially for a company that literally calls itself “3 Day Blinds.” I placed my order on February 1st and it has now been delayed three separate times …##Not happy I assumed that my blinds would be replaced since they were cut too narrow in the bedroom and let light in They tried to blame it on the frame of the windows not being straight I sent photos & all they said literally was “ OK” and …##Conner was my designer and did a great job helping me understand the differences between inside vs outside mount. We ended up with a hybrid approach the replace the ugly plastic boxes I bought online. Not only is the fabric beautiful but the fitment is exactly what I was expecting.",,,,,,
Custom Shade and Shutter,Yes,,+1 866-412-8898,http://www.customshadeandshutter.com/,4.6,102,"Saturday: Closed, Sunday: Closed, Monday: 8:30 AM–5 PM, Tuesday: 8:30 AM–5 PM, Wednesday: 8:30 AM–5 PM, Thursday: 8:30 AM–5 PM, Friday: 8:30 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl5qOWDVAiWwL2k9epC96z8bYFAk9UNVHo-Ngdc6l2IQvKz56D5piKRJqAyazMDhYp1mZAgEfi4E_XkMvn9SvCkxKoLuRUl_DYaC7dRtqzzvnDRyuzkp7A_Gl_jd0LWrZR17eAG1itzMxHb=w428-h240-k-no,"Antonio and the team are out of this world amazing. Not only was the craftsmanship excellent of the initial install, when we had the storms come in recently then honored the warranty and came right away and fixed things to be just like new. They are the best and highly recommended by me.##I have Custom Shade & Shutters interior shutters and motorized shades installed in my Dallas home. The quality and craftsmanship of both products is outstanding. The designer who came to my home helped me pick the best solutions for each …##Custom Shade and Shutter came out and did a really good. On time with neat work Rodger and JD did really good job. They provided multiple examples on how to work the shades and instructions on what to do if I have an issue. Wendy did good …",,,,,,
Safelite AutoGlass,Yes,,+1 877-664-8932,https://www.safelite.com/stores/dallas-inwood?utm_source=yext&utm_medium=list&utm_campaign=local&y_source=1_NzU2NjkwMDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.5,297,"Saturday: 8 AM–5 PM, Sunday: Closed, Monday: 8 AM–5 PM, Tuesday: 8 AM–5 PM, Wednesday: 8 AM–5 PM, Thursday: 8 AM–5 PM, Friday: 8 AM–5 PM",https://lh3.googleusercontent.com/gps-cs-s/AHRPTWme9hYSy8BAOH6JDz2BnUs5S7h5dPxF-iUyqU4Qx-SSM5yE5lyt7ul-hhKaJIFMENwdtHW5O2rfju68uNKBeH4GX_QprFrKYPyIO_VQ2tY0x0LMXl6Tv7wkvEy3Y-cYv1GfJiagfXqKq0s=w408-h306-k-no,"I was very impressed with Safelite when they replaced my windshield recently; especially they’re serviceman, Chris King.##Made appointment through Geico for a Model Y Glass replacement. Made the appointment for mobile install. The day before the appointment I got the call saying they could not do this mobile even though the automatic systems allowed. I was …##Great service provided to me by Safelite's Dallas location, replaced shattered driver side window glass within one hour .I am so grateful for this quick service",,,,,,
